Citation_Text,Sentiment,Source
Several recent real-world parsers have improved state-of-the-art parsing accuracy by relying on probabilistic or weighted versions of bilexical grammars  .,1,original
"In a later study, Och and Ney   present a loglinear combination of the HMM and IBM Model 4 that produces better alignments than either of those.",1,original
"In related work  , both supervised and unsupervised approaches have been shown to have their pros and cons.",1,original
"Among the machine learning algorithms studied, rule based systems have proven effective on many natural language processing tasks, including part-of-speech tagging  , spelling correction  , word-sense disambiguation  , message understanding  , discourse tagging  , accent restoration  , prepositional-phrase attachment   and base noun phrase identification  .",1,original
"Inversion transduction grammar  , or ITG, is a wellstudied synchronous grammar formalism.",1,original
The only trainable approaches   to surface generation are the purely statistical machine translation   systems such as   and the corpus-based generation system described in  .,1,original
We report results using the well-known automatic evaluation metrics Bleu  .,1,original
"Statistical techniques developed for lexicalized grammars  , readily apply to CCG to improve the average parsing performance in large-scale practical applications  .",1,original
"For example, polymer based nanoparticles may be prepared by the well-known solvent evaporation method, in which the droplets of a nanoemulsion are composed of a volatile organic solvent in which the polymer is solubilized  .",1,original
We also show that integrating our case prediction model improves the quality of translation according to BLEU  g2 and human evaluation.,1,original
"Thus, as a powerful sequence tagging model, CRF became the dominant method in the Bakeoff 2006  .",1,original
"Emerging results in the field continue to suggest that trimeric, functional forms of recombinant Env might generate more broadly-reactive, neutralizing antibody responses against HIV  .",1,original
"Assuming the well-known Kronecker correlation structure   we can decompose H as H = R 1 2HwS 1 2   where R and S are the receive and transmit correlation matrices respectively, satisfying tr   = Nr and tr   = Nt, and the elements of Hw are i.",1,original
"We decided to use the class of maximum entropy models, which are probabilistically sound, can make use of possibly many overlapping features, and can be trained efficiently  .",1,original
"Discriminative models do not only have theoretical advantages over generative models, as we discuss in Section 2, but they are also shown to be empirically favorable over generative models when features and objective functions are fixed  .",1,original
"2 Related Work Recently, several successful attempts have been made at using supervised machine learning for word alignment  .",1,original
Phrase-based decoding   is a dominant formalism in statistical machine translation.,1,original
"Among these measures, the most important are Wu & Palmers  , Resniks   and Lins  .",1,original
"The maximum entropy model   provides us with a well-founded framework for this purpose, which has been extensively used in natural lan guage processing tasks ranging from part-ofspeech tagging to machine translation.",1,original
"As expected, human multiple sclerosis incidence does correlate with low serum 25-OH-D, the most reliable index of vitamin D status  .",1,original
"For instance, changing the training procedure for word alignment models turned out to be most beneficial; for details see  .",1,original
"Its also worth noting that Collins and Roark   saw a LFMS improvement of 0.8% over their baseline discriminative parser after adding punctuation features, one of which encoded the sentence-final punctuation.",1,original
"It is the most widely reported metric in MT research, and has been shown to correlate well with human judgment  .",1,original
"3 Parsing Exact inference in ISBN models is not tractable, but effective approximations were proposed in  .",1,original
"First, such a system makes use of lexical information when modeling reordering  , which has previously been shown to be useful in German-to-English translation  .",1,original
"Variants of this method have been successfully used in many NLP tasks, like shallow processing  , parsing   and word alignment  .",1,original
The subjects’ usual diet before diagnosis for cases or hospital admission for controls was estimated through a satisfactorily reproducible   food frequency questionnaire  .,1,original
3.1 A History-Based Model The history-based   approach which incorporates more context information has worked well in parsing  .,1,original
"The limitations of the generative approach to sequence tagging, i. e. Hidden Markov Models, have been overcome by discriminative approaches proposed in recent years  .",1,original
"2.2 Statistical Parsers Pioneered by the IBM natural language group   and later pursued by, for example, Schabes, Roth, and Osborne  , Jelinek et al.",1,original
"Eigenvector centrality in particular has been successfully applied to many different types of networks, including hyperlinked web pages  , lexical networks  , and semantic networks  .",1,original
